"term","justice","justiceName","post_mn","post_sd","post_med","post_025","post_975"
2003,107,"DHSouter",-1.676,0.287,-1.667,-2.257,-1.139
2004,107,"DHSouter",-1.642,0.287,-1.637,-2.218,-1.101
2005,107,"DHSouter",-1.562,0.289,-1.553,-2.161,-1.021
2006,107,"DHSouter",-1.447,0.281,-1.436,-2.031,-0.925
2007,107,"DHSouter",-1.511,0.296,-1.504,-2.114,-0.947
2008,107,"DHSouter",-1.572,0.321,-1.556,-2.239,-0.978
2010,114,"EKagan",-1.404,0.33,-1.393,-2.079,-0.79
2011,114,"EKagan",-1.391,0.306,-1.377,-2.026,-0.832
2012,114,"EKagan",-1.635,0.307,-1.627,-2.259,-1.053
2013,114,"EKagan",-1.593,0.324,-1.579,-2.254,-0.986
2014,114,"EKagan",-1.64,0.338,-1.624,-2.346,-1.011
2015,114,"EKagan",-1.515,0.398,-1.502,-2.342,-0.78
1953,90,"EWarren",0.013,0.218,0.015,-0.416,0.433
1954,90,"EWarren",-0.456,0.215,-0.452,-0.886,-0.039
1955,90,"EWarren",-1.082,0.222,-1.077,-1.523,-0.657
1956,90,"EWarren",-1.295,0.221,-1.289,-1.747,-0.876
1957,90,"EWarren",-1.578,0.224,-1.572,-2.036,-1.158
1958,90,"EWarren",-1.639,0.233,-1.634,-2.112,-1.192
1959,90,"EWarren",-1.551,0.235,-1.544,-2.023,-1.107
1960,90,"EWarren",-1.433,0.233,-1.428,-1.902,-0.991
1961,90,"EWarren",-1.561,0.239,-1.553,-2.043,-1.11
1962,90,"EWarren",-1.507,0.23,-1.503,-1.979,-1.077
1963,90,"EWarren",-1.474,0.228,-1.469,-1.944,-1.046
1964,90,"EWarren",-1.272,0.241,-1.268,-1.76,-0.814
1965,90,"EWarren",-1.294,0.229,-1.288,-1.758,-0.866
1966,90,"EWarren",-1.313,0.211,-1.31,-1.743,-0.923
1967,90,"EWarren",-1.328,0.223,-1.322,-1.787,-0.919
1968,90,"EWarren",-1.355,0.275,-1.342,-1.934,-0.85
1938,80,"FFrankfurter",-1.402,0.326,-1.394,-2.059,-0.79
1939,80,"FFrankfurter",-1.275,0.251,-1.268,-1.778,-0.802
1940,80,"FFrankfurter",-0.735,0.208,-0.733,-1.149,-0.33
1941,80,"FFrankfurter",0.082,0.184,0.081,-0.277,0.448
1942,80,"FFrankfurter",0.404,0.183,0.402,0.047,0.768
1943,80,"FFrankfurter",0.595,0.185,0.592,0.248,0.968
1944,80,"FFrankfurter",0.501,0.175,0.498,0.17,0.858
1945,80,"FFrankfurter",0.648,0.213,0.644,0.245,1.086
1946,80,"FFrankfurter",1.038,0.204,1.033,0.65,1.451
1947,80,"FFrankfurter",0.947,0.199,0.942,0.572,1.357
1948,80,"FFrankfurter",0.631,0.181,0.627,0.29,0.998
1949,80,"FFrankfurter",0.342,0.216,0.34,-0.072,0.778
1950,80,"FFrankfurter",0.231,0.202,0.229,-0.165,0.637
1951,80,"FFrankfurter",0.113,0.195,0.11,-0.263,0.494
1952,80,"FFrankfurter",0.072,0.17,0.072,-0.262,0.405
1953,80,"FFrankfurter",0.373,0.193,0.37,0.004,0.763
1954,80,"FFrankfurter",0.326,0.202,0.324,-0.064,0.729
1955,80,"FFrankfurter",0.633,0.202,0.631,0.251,1.036
1956,80,"FFrankfurter",0.798,0.197,0.793,0.42,1.191
1957,80,"FFrankfurter",1.058,0.196,1.051,0.685,1.455
1958,80,"FFrankfurter",1.391,0.23,1.385,0.961,1.85
1959,80,"FFrankfurter",1.687,0.244,1.682,1.222,2.184
1960,80,"FFrankfurter",1.763,0.286,1.755,1.23,2.349
1961,80,"FFrankfurter",1.768,0.367,1.759,1.097,2.519
1939,82,"FMurphy",-1.617,0.351,-1.606,-2.333,-0.971
1940,82,"FMurphy",-1.569,0.29,-1.561,-2.167,-1.025
1941,82,"FMurphy",-1.512,0.263,-1.507,-2.053,-1.022
1942,82,"FMurphy",-1.639,0.261,-1.628,-2.168,-1.147
1943,82,"FMurphy",-1.708,0.253,-1.698,-2.217,-1.233
1944,82,"FMurphy",-1.43,0.245,-1.427,-1.932,-0.968
1945,82,"FMurphy",-1.401,0.27,-1.39,-1.961,-0.904
1946,82,"FMurphy",-1.781,0.256,-1.77,-2.303,-1.306
1947,82,"FMurphy",-1.695,0.267,-1.684,-2.251,-1.201
1948,82,"FMurphy",-1.522,0.298,-1.514,-2.145,-0.966
1946,87,"FMVinson",0.412,0.19,0.409,0.052,0.794
1947,87,"FMVinson",0.54,0.183,0.535,0.199,0.911
1948,87,"FMVinson",0.889,0.2,0.882,0.511,1.294
1949,87,"FMVinson",1.154,0.247,1.149,0.688,1.658
1950,87,"FMVinson",1.302,0.264,1.292,0.815,1.844
1951,87,"FMVinson",1.546,0.273,1.539,1.047,2.115
1952,87,"FMVinson",1.482,0.323,1.464,0.908,2.164
1937,71,"GSutherland",1.574,0.547,1.541,0.606,2.76
1969,100,"HABlackmun",1.636,0.399,1.627,0.878,2.434
1970,100,"HABlackmun",1.767,0.294,1.756,1.218,2.368
1971,100,"HABlackmun",1.713,0.239,1.707,1.269,2.205
1972,100,"HABlackmun",1.488,0.212,1.481,1.088,1.926
1973,100,"HABlackmun",1.346,0.201,1.342,0.968,1.752
1974,100,"HABlackmun",1.055,0.204,1.054,0.667,1.461
1975,100,"HABlackmun",0.841,0.174,0.838,0.515,1.196
1976,100,"HABlackmun",0.621,0.163,0.617,0.306,0.947
1977,100,"HABlackmun",0.285,0.172,0.283,-0.047,0.62
1978,100,"HABlackmun",0.138,0.155,0.136,-0.158,0.445
1979,100,"HABlackmun",-0.018,0.151,-0.018,-0.317,0.279
1980,100,"HABlackmun",-0.096,0.162,-0.096,-0.413,0.217
1981,100,"HABlackmun",-0.277,0.157,-0.275,-0.596,0.026
1982,100,"HABlackmun",-0.395,0.162,-0.392,-0.714,-0.083
1983,100,"HABlackmun",-0.009,0.155,-0.01,-0.309,0.298
1984,100,"HABlackmun",-0.143,0.166,-0.143,-0.471,0.186
1985,100,"HABlackmun",-0.721,0.173,-0.719,-1.067,-0.389
1986,100,"HABlackmun",-0.909,0.176,-0.907,-1.268,-0.576
1987,100,"HABlackmun",-0.947,0.201,-0.945,-1.353,-0.571
1988,100,"HABlackmun",-0.955,0.189,-0.952,-1.333,-0.598
1989,100,"HABlackmun",-0.908,0.193,-0.902,-1.299,-0.538
1990,100,"HABlackmun",-1.215,0.225,-1.208,-1.678,-0.796
1991,100,"HABlackmun",-1.45,0.261,-1.44,-1.986,-0.953
1992,100,"HABlackmun",-1.663,0.294,-1.653,-2.278,-1.112
1993,100,"HABlackmun",-1.943,0.353,-1.936,-2.671,-1.282
1937,74,"HFStone",-0.774,0.259,-0.766,-1.293,-0.282
1938,74,"HFStone",-0.707,0.214,-0.703,-1.137,-0.299
1939,74,"HFStone",-0.624,0.201,-0.621,-1.024,-0.244
1940,74,"HFStone",-0.216,0.191,-0.215,-0.592,0.161
1941,74,"HFStone",0.472,0.193,0.471,0.105,0.856
1942,74,"HFStone",0.426,0.185,0.422,0.068,0.799
1943,74,"HFStone",0.248,0.175,0.247,-0.086,0.6
1944,74,"HFStone",0.572,0.179,0.567,0.224,0.942
1945,74,"HFStone",0.726,0.267,0.72,0.218,1.265
1945,86,"HHBurton",0.507,0.235,0.501,0.062,0.989
1946,86,"HHBurton",0.528,0.188,0.522,0.173,0.914
1947,86,"HHBurton",0.832,0.196,0.828,0.461,1.232
1948,86,"HHBurton",0.959,0.2,0.955,0.585,1.368
1949,86,"HHBurton",0.997,0.241,0.991,0.535,1.484
1950,86,"HHBurton",1.01,0.231,1.006,0.569,1.469
1951,86,"HHBurton",0.953,0.224,0.945,0.529,1.412
1952,86,"HHBurton",1.284,0.227,1.274,0.863,1.743
1953,86,"HHBurton",1.351,0.248,1.342,0.893,1.857
1954,86,"HHBurton",1.304,0.246,1.295,0.837,1.808
1955,86,"HHBurton",1.313,0.233,1.307,0.872,1.784
1956,86,"HHBurton",1.262,0.217,1.256,0.851,1.699
1957,86,"HHBurton",1.141,0.223,1.132,0.722,1.601
1958,86,"HHBurton",1.184,0.377,1.184,0.456,1.925
1937,78,"HLBlack",-2.904,0.333,-2.903,-3.56,-2.263
1938,78,"HLBlack",-3.215,0.364,-3.213,-3.933,-2.512
1939,78,"HLBlack",-3.306,0.385,-3.301,-4.084,-2.576
1940,78,"HLBlack",-3.339,0.389,-3.324,-4.123,-2.6
1941,78,"HLBlack",-3.273,0.383,-3.261,-4.056,-2.543
1942,78,"HLBlack",-3.071,0.374,-3.059,-3.839,-2.37
1943,78,"HLBlack",-2.754,0.37,-2.744,-3.506,-2.055
1944,78,"HLBlack",-2.594,0.344,-2.585,-3.288,-1.948
1945,78,"HLBlack",-2.19,0.343,-2.178,-2.887,-1.555
1946,78,"HLBlack",-1.979,0.3,-1.968,-2.584,-1.433
1947,78,"HLBlack",-1.813,0.28,-1.806,-2.384,-1.286
1948,78,"HLBlack",-1.602,0.267,-1.594,-2.165,-1.103
1949,78,"HLBlack",-1.55,0.309,-1.544,-2.167,-0.967
1950,78,"HLBlack",-1.497,0.289,-1.491,-2.074,-0.951
1951,78,"HLBlack",-1.366,0.263,-1.353,-1.902,-0.87
1952,78,"HLBlack",-1.104,0.237,-1.092,-1.605,-0.668
1953,78,"HLBlack",-1.48,0.26,-1.474,-2.012,-0.987
1954,78,"HLBlack",-1.62,0.291,-1.611,-2.219,-1.071
1955,78,"HLBlack",-1.964,0.288,-1.956,-2.55,-1.421
1956,78,"HLBlack",-2.168,0.283,-2.161,-2.732,-1.632
1957,78,"HLBlack",-2.232,0.275,-2.23,-2.789,-1.712
1958,78,"HLBlack",-2.071,0.282,-2.066,-2.637,-1.527
1959,78,"HLBlack",-2.047,0.273,-2.038,-2.598,-1.537
1960,78,"HLBlack",-1.934,0.268,-1.925,-2.487,-1.429
1961,78,"HLBlack",-1.836,0.267,-1.829,-2.368,-1.335
1962,78,"HLBlack",-1.742,0.247,-1.734,-2.246,-1.272
1963,78,"HLBlack",-1.422,0.227,-1.415,-1.895,-1
1964,78,"HLBlack",-0.865,0.225,-0.862,-1.31,-0.434
1965,78,"HLBlack",-0.533,0.19,-0.528,-0.914,-0.167
1966,78,"HLBlack",-0.421,0.155,-0.418,-0.735,-0.122
1967,78,"HLBlack",-0.096,0.145,-0.096,-0.386,0.185
1968,78,"HLBlack",0.106,0.171,0.107,-0.232,0.439
1969,78,"HLBlack",0.089,0.179,0.09,-0.262,0.435
1970,78,"HLBlack",-0.002,0.18,-0.003,-0.354,0.353
1937,67,"JCMcReynolds",3.429,0.54,3.398,2.444,4.573
1938,67,"JCMcReynolds",3.562,0.551,3.531,2.587,4.736
1939,67,"JCMcReynolds",3.532,0.602,3.499,2.465,4.825
1940,67,"JCMcReynolds",3.354,0.709,3.326,2.056,4.827
1941,83,"JFByrnes",-0.19,0.234,-0.187,-0.648,0.268
2005,111,"JGRoberts",1.376,0.327,1.368,0.769,2.044
2006,111,"JGRoberts",1.406,0.28,1.396,0.875,1.973
2007,111,"JGRoberts",1.396,0.273,1.393,0.868,1.946
2008,111,"JGRoberts",1.481,0.267,1.474,0.975,2.021
2009,111,"JGRoberts",1.36,0.27,1.353,0.844,1.902
2010,111,"JGRoberts",1.377,0.264,1.37,0.879,1.914
2011,111,"JGRoberts",1.182,0.256,1.177,0.694,1.697
2012,111,"JGRoberts",1.082,0.244,1.077,0.615,1.578
2013,111,"JGRoberts",0.76,0.257,0.758,0.264,1.283
2014,111,"JGRoberts",0.541,0.229,0.537,0.104,1.005
2015,111,"JGRoberts",0.256,0.274,0.247,-0.26,0.814
1954,91,"JHarlan2",0.867,0.325,0.863,0.237,1.518
1955,91,"JHarlan2",1.092,0.248,1.086,0.623,1.609
1956,91,"JHarlan2",1.283,0.226,1.275,0.862,1.741
1957,91,"JHarlan2",1.406,0.219,1.401,0.999,1.853
1958,91,"JHarlan2",1.571,0.242,1.565,1.117,2.059
1959,91,"JHarlan2",1.715,0.255,1.707,1.238,2.24
1960,91,"JHarlan2",1.908,0.28,1.904,1.384,2.475
1961,91,"JHarlan2",2.271,0.294,2.263,1.715,2.861
1962,91,"JHarlan2",2.522,0.307,2.516,1.938,3.146
1963,91,"JHarlan2",2.585,0.313,2.579,2.001,3.205
1964,91,"JHarlan2",2.405,0.329,2.401,1.78,3.065
1965,91,"JHarlan2",2.332,0.302,2.326,1.763,2.935
1966,91,"JHarlan2",2.054,0.268,2.045,1.544,2.596
1967,91,"JHarlan2",1.476,0.225,1.466,1.046,1.936
1968,91,"JHarlan2",0.778,0.212,0.773,0.377,1.21
1969,91,"JHarlan2",0.679,0.198,0.673,0.306,1.083
1970,91,"JHarlan2",0.673,0.208,0.667,0.277,1.092
1975,103,"JPStevens",0.089,0.197,0.089,-0.302,0.47
1976,103,"JPStevens",-0.144,0.156,-0.144,-0.45,0.16
1977,103,"JPStevens",-0.053,0.165,-0.051,-0.375,0.275
1978,103,"JPStevens",-0.313,0.156,-0.308,-0.627,-0.015
1979,103,"JPStevens",-0.289,0.154,-0.287,-0.598,0.015
1980,103,"JPStevens",-0.287,0.165,-0.284,-0.615,0.029
1981,103,"JPStevens",-0.328,0.159,-0.324,-0.641,-0.02
1982,103,"JPStevens",-0.567,0.169,-0.567,-0.901,-0.245
1983,103,"JPStevens",-0.568,0.166,-0.567,-0.901,-0.251
1984,103,"JPStevens",-0.536,0.177,-0.534,-0.887,-0.201
1985,103,"JPStevens",-0.507,0.169,-0.505,-0.846,-0.18
1986,103,"JPStevens",-0.615,0.165,-0.611,-0.947,-0.297
1987,103,"JPStevens",-0.542,0.185,-0.538,-0.918,-0.192
1988,103,"JPStevens",-0.679,0.176,-0.673,-1.027,-0.341
1989,103,"JPStevens",-1.071,0.2,-1.064,-1.482,-0.693
1990,103,"JPStevens",-1.786,0.26,-1.778,-2.315,-1.29
1991,103,"JPStevens",-2.207,0.302,-2.198,-2.826,-1.635
1992,103,"JPStevens",-2.398,0.344,-2.389,-3.102,-1.764
1993,103,"JPStevens",-2.599,0.383,-2.586,-3.391,-1.879
1994,103,"JPStevens",-3.01,0.392,-2.994,-3.811,-2.282
1995,103,"JPStevens",-3.261,0.403,-3.252,-4.071,-2.492
1996,103,"JPStevens",-3.371,0.416,-3.36,-4.215,-2.587
1997,103,"JPStevens",-3.339,0.434,-3.326,-4.216,-2.527
1998,103,"JPStevens",-3.339,0.431,-3.323,-4.236,-2.537
1999,103,"JPStevens",-3.295,0.43,-3.28,-4.167,-2.489
2000,103,"JPStevens",-3.125,0.443,-3.109,-4.03,-2.298
2001,103,"JPStevens",-3.022,0.448,-3.004,-3.946,-2.19
2002,103,"JPStevens",-2.905,0.447,-2.895,-3.815,-2.07
2003,103,"JPStevens",-2.883,0.442,-2.87,-3.792,-2.044
2004,103,"JPStevens",-2.866,0.434,-2.852,-3.771,-2.062
2005,103,"JPStevens",-2.812,0.444,-2.794,-3.745,-2.005
2006,103,"JPStevens",-2.784,0.446,-2.761,-3.738,-1.985
2007,103,"JPStevens",-2.665,0.46,-2.641,-3.635,-1.817
2008,103,"JPStevens",-2.827,0.467,-2.802,-3.815,-1.986
2009,103,"JPStevens",-2.831,0.524,-2.803,-3.923,-1.891
1937,68,"LDBrandeis",-0.614,0.274,-0.607,-1.174,-0.092
1938,68,"LDBrandeis",-0.621,0.312,-0.613,-1.24,-0.028
1971,101,"LFPowell",1.435,0.258,1.428,0.95,1.956
1972,101,"LFPowell",1.196,0.198,1.191,0.823,1.592
1973,101,"LFPowell",1.152,0.193,1.148,0.787,1.538
1974,101,"LFPowell",1.112,0.207,1.106,0.725,1.534
1975,101,"LFPowell",0.938,0.18,0.936,0.593,1.292
1976,101,"LFPowell",0.712,0.17,0.709,0.387,1.051
1977,101,"LFPowell",0.458,0.172,0.455,0.128,0.8
1978,101,"LFPowell",0.818,0.177,0.814,0.482,1.17
1979,101,"LFPowell",0.802,0.174,0.798,0.472,1.151
1980,101,"LFPowell",0.829,0.191,0.825,0.474,1.213
1981,101,"LFPowell",0.965,0.186,0.96,0.614,1.341
1982,101,"LFPowell",1.183,0.198,1.181,0.808,1.586
1983,101,"LFPowell",1.052,0.194,1.047,0.687,1.443
1984,101,"LFPowell",0.77,0.201,0.764,0.385,1.172
1985,101,"LFPowell",0.844,0.183,0.84,0.499,1.215
1986,101,"LFPowell",0.807,0.184,0.802,0.461,1.182
1937,76,"OJRoberts",0.007,0.228,0.009,-0.436,0.452
1938,76,"OJRoberts",0.345,0.197,0.342,-0.033,0.747
1939,76,"OJRoberts",1.003,0.223,0.998,0.578,1.461
1940,76,"OJRoberts",1.652,0.269,1.643,1.151,2.199
1941,76,"OJRoberts",1.87,0.313,1.855,1.301,2.511
1942,76,"OJRoberts",2.137,0.345,2.123,1.502,2.852
1943,76,"OJRoberts",2.456,0.368,2.44,1.788,3.225
1944,76,"OJRoberts",2.797,0.406,2.783,2.049,3.648
1937,72,"PButler",2.066,0.43,2.035,1.306,2.994
1938,72,"PButler",2.375,0.435,2.345,1.607,3.31
1958,94,"PStewart",0.866,0.2,0.862,0.488,1.27
1959,94,"PStewart",0.618,0.172,0.616,0.284,0.961
1960,94,"PStewart",0.48,0.172,0.478,0.142,0.823
1961,94,"PStewart",0.314,0.175,0.314,-0.031,0.663
1962,94,"PStewart",0.375,0.161,0.373,0.064,0.704
1963,94,"PStewart",0.391,0.159,0.389,0.086,0.707
1964,94,"PStewart",0.489,0.197,0.484,0.109,0.881
1965,94,"PStewart",0.623,0.183,0.621,0.277,0.985
1966,94,"PStewart",0.606,0.162,0.604,0.295,0.927
1967,94,"PStewart",-0.101,0.143,-0.1,-0.382,0.18
1968,94,"PStewart",0.345,0.175,0.345,0.009,0.694
1969,94,"PStewart",0.46,0.179,0.458,0.111,0.821
1970,94,"PStewart",0.518,0.174,0.514,0.189,0.869
1971,94,"PStewart",0.107,0.151,0.106,-0.189,0.403
1972,94,"PStewart",0.136,0.145,0.135,-0.148,0.42
1973,94,"PStewart",0.493,0.153,0.49,0.2,0.799
1974,94,"PStewart",0.364,0.17,0.362,0.036,0.703
1975,94,"PStewart",0.508,0.159,0.506,0.204,0.827
